"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUT","Austria","T","Total","TOTAL","Total","1961","1961",7086299,,
"AUT","Austria","T","Total","TOTAL","Total","1962","1962",7129864,,
"AUT","Austria","T","Total","TOTAL","Total","1963","1963",7175811,,
"AUT","Austria","T","Total","TOTAL","Total","1964","1964",7223801,,
"AUT","Austria","T","Total","TOTAL","Total","1965","1965",7270889,,
"AUT","Austria","T","Total","TOTAL","Total","1966","1966",7322066,,
"AUT","Austria","T","Total","TOTAL","Total","1967","1967",7376998,,
"AUT","Austria","T","Total","TOTAL","Total","1968","1968",7415403,,
"AUT","Austria","T","Total","TOTAL","Total","1969","1969",7441055,,
"AUT","Austria","T","Total","TOTAL","Total","1970","1970",7467086,,
"AUT","Austria","T","Total","TOTAL","Total","1971","1971",7500482,,
"AUT","Austria","T","Total","TOTAL","Total","1972","1972",7544201,,
"AUT","Austria","T","Total","TOTAL","Total","1973","1973",7586115,,
"AUT","Austria","T","Total","TOTAL","Total","1974","1974",7599038,,
"AUT","Austria","T","Total","TOTAL","Total","1975","1975",7578903,,
"AUT","Austria","T","Total","TOTAL","Total","1976","1976",7565525,,
"AUT","Austria","T","Total","TOTAL","Total","1977","1977",7568430,,
"AUT","Austria","T","Total","TOTAL","Total","1978","1978",7562305,,
"AUT","Austria","T","Total","TOTAL","Total","1979","1979",7549425,,
"AUT","Austria","T","Total","TOTAL","Total","1980","1980",7549433,,
"AUT","Austria","T","Total","TOTAL","Total","1981","1981",7568710,,
"AUT","Austria","T","Total","TOTAL","Total","1982","1982",7574140,,
"AUT","Austria","T","Total","TOTAL","Total","1983","1983",7561910,,
"AUT","Austria","T","Total","TOTAL","Total","1984","1984",7561434,,
"AUT","Austria","T","Total","TOTAL","Total","1985","1985",7564984,,
"AUT","Austria","T","Total","TOTAL","Total","1986","1986",7569794,,
"AUT","Austria","T","Total","TOTAL","Total","1987","1987",7574586,,
"AUT","Austria","T","Total","TOTAL","Total","1988","1988",7585317,,
"AUT","Austria","T","Total","TOTAL","Total","1989","1989",7619566,,
"AUT","Austria","T","Total","TOTAL","Total","1990","1990",7677850,,
"AUT","Austria","T","Total","TOTAL","Total","1991","1991",7754891,,
"AUT","Austria","T","Total","TOTAL","Total","1992","1992",7840709,,
"AUT","Austria","T","Total","TOTAL","Total","1993","1993",7905632,,
"AUT","Austria","T","Total","TOTAL","Total","1994","1994",7936118,,
"AUT","Austria","T","Total","TOTAL","Total","1995","1995",7948278,,
"AUT","Austria","T","Total","TOTAL","Total","1996","1996",7959016,,
"AUT","Austria","T","Total","TOTAL","Total","1997","1997",7968041,,
"AUT","Austria","T","Total","TOTAL","Total","1998","1998",7976789,,
"AUT","Austria","T","Total","TOTAL","Total","1999","1999",7992323,,
"AUT","Austria","T","Total","TOTAL","Total","2000","2000",8011566,,
"AUT","Austria","T","Total","TOTAL","Total","2001","2001",8042293,,
"AUT","Austria","T","Total","TOTAL","Total","2002","2002",8082121,,
"AUT","Austria","T","Total","TOTAL","Total","2003","2003",8118245,,
"AUT","Austria","T","Total","TOTAL","Total","2004","2004",8169441,,
"AUT","Austria","T","Total","TOTAL","Total","2005","2005",8225278,,
"AUT","Austria","T","Total","TOTAL","Total","2006","2006",8267948,,
"AUT","Austria","T","Total","TOTAL","Total","2007","2007",8295189,,
"AUT","Austria","T","Total","TOTAL","Total","2008","2008",8321541,,
"AUT","Austria","T","Total","TOTAL","Total","2009","2009",8341483,,
"AUT","Austria","T","Total","TOTAL","Total","2010","2010",8361069,,
"AUT","Austria","T","Total","TOTAL","Total","2011","2011",8388534,,
"AUT","Austria","T","Total","TOTAL","Total","2012","2012",8426311,,
"AUT","Austria","T","Total","TOTAL","Total","2013","2013",8477230,,
"AUT","Austria","T","Total","TOTAL","Total","2014","2014",8543932,,
"AUT","Austria","T","Total","TOTAL","Total","2015","2015",8629519,,
"AUT","Austria","T","Total","TOTAL","Total","2016","2016",8739806,,
"AUT","Austria","T","Total","TOTAL","Total","2017","2017",8795073,,
"AUT","Austria","T","Total","TOTAL","Total","2018","2018",8837707,,
"AUT","Austria","T","Total","TOTAL","Total","2019","2019",8877637,,
"AUT","Austria","T","Total","TOTAL","Total","2020","2020",8916845,,
"AUT","Austria","T","Total","TOTAL","Total","2021","2021",8951520,,
"AUT","Austria","T","Total","TOTAL","Total","2022","2022",9052856,,
"BEL","Belgium","T","Total","TOTAL","Total","1960","1960",9153490,,
"BEL","Belgium","T","Total","TOTAL","Total","1961","1961",9183948,,
"BEL","Belgium","T","Total","TOTAL","Total","1962","1962",9220578,,
"BEL","Belgium","T","Total","TOTAL","Total","1963","1963",9289770,,
"BEL","Belgium","T","Total","TOTAL","Total","1964","1964",9378114,,
"BEL","Belgium","T","Total","TOTAL","Total","1965","1965",9463668,,
"BEL","Belgium","T","Total","TOTAL","Total","1966","1966",9527808,,
"BEL","Belgium","T","Total","TOTAL","Total","1967","1967",9580991,,
"BEL","Belgium","T","Total","TOTAL","Total","1968","1968",9618756,,
"BEL","Belgium","T","Total","TOTAL","Total","1969","1969",9646033,,
"BEL","Belgium","T","Total","TOTAL","Total","1970","1970",9655550,,
"BEL","Belgium","T","Total","TOTAL","Total","1971","1971",9673162,,
"BEL","Belgium","T","Total","TOTAL","Total","1972","1972",9711115,,
"BEL","Belgium","T","Total","TOTAL","Total","1973","1973",9741721,,
"BEL","Belgium","T","Total","TOTAL","Total","1974","1974",9772420,,
"BEL","Belgium","T","Total","TOTAL","Total","1975","1975",9800700,,
"BEL","Belgium","T","Total","TOTAL","Total","1976","1976",9818228,,
"BEL","Belgium","T","Total","TOTAL","Total","1977","1977",9830358,,
"BEL","Belgium","T","Total","TOTAL","Total","1978","1978",9839534,,
"BEL","Belgium","T","Total","TOTAL","Total","1979","1979",9848382,,
"BEL","Belgium","T","Total","TOTAL","Total","1980","1980",9859243,,
"BEL","Belgium","T","Total","TOTAL","Total","1981","1981",9858982,,
"BEL","Belgium","T","Total","TOTAL","Total","1982","1982",9856303,,
"BEL","Belgium","T","Total","TOTAL","Total","1983","1983",9855521,,
"BEL","Belgium","T","Total","TOTAL","Total","1984","1984",9855372,,
"BEL","Belgium","T","Total","TOTAL","Total","1985","1985",9858309,,
"BEL","Belgium","T","Total","TOTAL","Total","1986","1986",9861824,,
"BEL","Belgium","T","Total","TOTAL","Total","1987","1987",9870234,,
"BEL","Belgium","T","Total","TOTAL","Total","1988","1988",9901665,,
"BEL","Belgium","T","Total","TOTAL","Total","1989","1989",9937697,,
"BEL","Belgium","T","Total","TOTAL","Total","1990","1990",9967378,,
"BEL","Belgium","T","Total","TOTAL","Total","1991","1991",10004486,,
"BEL","Belgium","T","Total","TOTAL","Total","1992","1992",10045165,,
"BEL","Belgium","T","Total","TOTAL","Total","1993","1993",10084479,,
"BEL","Belgium","T","Total","TOTAL","Total","1994","1994",10115601,,
"BEL","Belgium","T","Total","TOTAL","Total","1995","1995",10136814,,
"BEL","Belgium","T","Total","TOTAL","Total","1996","1996",10156641,,
"BEL","Belgium","T","Total","TOTAL","Total","1997","1997",10181246,,
"BEL","Belgium","T","Total","TOTAL","Total","1998","1998",10203012,,
"BEL","Belgium","T","Total","TOTAL","Total","1999","1999",10226419,,
"BEL","Belgium","T","Total","TOTAL","Total","2000","2000",10251251,,
"BEL","Belgium","T","Total","TOTAL","Total","2001","2001",10286571,,
"BEL","Belgium","T","Total","TOTAL","Total","2002","2002",10332786,,
"BEL","Belgium","T","Total","TOTAL","Total","2003","2003",10376131,,
"BEL","Belgium","T","Total","TOTAL","Total","2004","2004",10421136,,
"BEL","Belgium","T","Total","TOTAL","Total","2005","2005",10478620,,
"BEL","Belgium","T","Total","TOTAL","Total","2006","2006",10547956,,
"BEL","Belgium","T","Total","TOTAL","Total","2007","2007",10624835,,
"BEL","Belgium","T","Total","TOTAL","Total","2008","2008",10709108,,
"BEL","Belgium","T","Total","TOTAL","Total","2009","2009",10796498,,
"BEL","Belgium","T","Total","TOTAL","Total","2010","2010",10895591,,
"BEL","Belgium","T","Total","TOTAL","Total","2011","2011",10993609,,
"BEL","Belgium","T","Total","TOTAL","Total","2012","2012",11067748,,
"BEL","Belgium","T","Total","TOTAL","Total","2013","2013",11125033,,
"BEL","Belgium","T","Total","TOTAL","Total","2014","2014",11179778,,
"BEL","Belgium","T","Total","TOTAL","Total","2015","2015",11238474,,
"BEL","Belgium","T","Total","TOTAL","Total","2016","2016",11295003,,
"BEL","Belgium","T","Total","TOTAL","Total","2017","2017",11349081,,
"BEL","Belgium","T","Total","TOTAL","Total","2018","2018",11403740,,
"BEL","Belgium","T","Total","TOTAL","Total","2019","2019",11462023,,
"BEL","Belgium","T","Total","TOTAL","Total","2020","2020",11506938,,
"BEL","Belgium","T","Total","TOTAL","Total","2021","2021",11552615,,
"BEL","Belgium","T","Total","TOTAL","Total","2022","2022",11640788,,
"CAN","Canada","T","Total","TOTAL","Total","1960","1960",18256447,,
"CAN","Canada","T","Total","TOTAL","Total","1961","1961",18634666,,
"CAN","Canada","T","Total","TOTAL","Total","1962","1962",18989309,,
"CAN","Canada","T","Total","TOTAL","Total","1963","1963",19347231,,
"CAN","Canada","T","Total","TOTAL","Total","1964","1964",19719595,,
"CAN","Canada","T","Total","TOTAL","Total","1965","1965",20084314,,
"CAN","Canada","T","Total","TOTAL","Total","1966","1966",20420867,,
"CAN","Canada","T","Total","TOTAL","Total","1967","1967",20795138,,
"CAN","Canada","T","Total","TOTAL","Total","1968","1968",21129417,,
"CAN","Canada","T","Total","TOTAL","Total","1969","1969",21439830,,
"CAN","Canada","T","Total","TOTAL","Total","1970","1970",21746497,,
"CAN","Canada","T","Total","TOTAL","Total","1971","1971",21962032,,
"CAN","Canada","T","Total","TOTAL","Total","1972","1972",22218463,,
"CAN","Canada","T","Total","TOTAL","Total","1973","1973",22491777,,
"CAN","Canada","T","Total","TOTAL","Total","1974","1974",22807969,,
"CAN","Canada","T","Total","TOTAL","Total","1975","1975",23143275,,
"CAN","Canada","T","Total","TOTAL","Total","1976","1976",23449808,,
"CAN","Canada","T","Total","TOTAL","Total","1977","1977",23725843,,
"CAN","Canada","T","Total","TOTAL","Total","1978","1978",23963203,,
"CAN","Canada","T","Total","TOTAL","Total","1979","1979",24201544,,
"CAN","Canada","T","Total","TOTAL","Total","1980","1980",24515667,,
"CAN","Canada","T","Total","TOTAL","Total","1981","1981",24819915,,
"CAN","Canada","T","Total","TOTAL","Total","1982","1982",25116942,,
"CAN","Canada","T","Total","TOTAL","Total","1983","1983",25366451,,
"CAN","Canada","T","Total","TOTAL","Total","1984","1984",25607053,,
"CAN","Canada","T","Total","TOTAL","Total","1985","1985",25842116,,
"CAN","Canada","T","Total","TOTAL","Total","1986","1986",26100278,,
"CAN","Canada","T","Total","TOTAL","Total","1987","1987",26446601,,
"CAN","Canada","T","Total","TOTAL","Total","1988","1988",26791747,,
"CAN","Canada","T","Total","TOTAL","Total","1989","1989",27276781,,
"CAN","Canada","T","Total","TOTAL","Total","1990","1990",27691138,,
"CAN","Canada","T","Total","TOTAL","Total","1991","1991",28037420,,
"CAN","Canada","T","Total","TOTAL","Total","1992","1992",28371264,,
"CAN","Canada","T","Total","TOTAL","Total","1993","1993",28684764,,
"CAN","Canada","T","Total","TOTAL","Total","1994","1994",29000663,,
"CAN","Canada","T","Total","TOTAL","Total","1995","1995",29302311,,
"CAN","Canada","T","Total","TOTAL","Total","1996","1996",29610218,,
"CAN","Canada","T","Total","TOTAL","Total","1997","1997",29905948,,
"CAN","Canada","T","Total","TOTAL","Total","1998","1998",30155173,,
"CAN","Canada","T","Total","TOTAL","Total","1999","1999",30401286,,
"CAN","Canada","T","Total","TOTAL","Total","2000","2000",30685730,,
"CAN","Canada","T","Total","TOTAL","Total","2001","2001",31020902,,
"CAN","Canada","T","Total","TOTAL","Total","2002","2002",31360079,,
"CAN","Canada","T","Total","TOTAL","Total","2003","2003",31644028,,
"CAN","Canada","T","Total","TOTAL","Total","2004","2004",31940655,,
"CAN","Canada","T","Total","TOTAL","Total","2005","2005",32243753,,
"CAN","Canada","T","Total","TOTAL","Total","2006","2006",32571174,,
"CAN","Canada","T","Total","TOTAL","Total","2007","2007",32889025,,
"CAN","Canada","T","Total","TOTAL","Total","2008","2008",33247118,,
"CAN","Canada","T","Total","TOTAL","Total","2009","2009",33628895,,
"CAN","Canada","T","Total","TOTAL","Total","2010","2010",34004889,,
"CAN","Canada","T","Total","TOTAL","Total","2011","2011",34339328,,
"CAN","Canada","T","Total","TOTAL","Total","2012","2012",34714222,,
"CAN","Canada","T","Total","TOTAL","Total","2013","2013",35082954,,
"CAN","Canada","T","Total","TOTAL","Total","2014","2014",35437435,,
"CAN","Canada","T","Total","TOTAL","Total","2015","2015",35702908,,
"CAN","Canada","T","Total","TOTAL","Total","2016","2016",36109487,,
"CAN","Canada","T","Total","TOTAL","Total","2017","2017",36545236,,
"CAN","Canada","T","Total","TOTAL","Total","2018","2018",37065084,,
"CAN","Canada","T","Total","TOTAL","Total","2019","2019",37601230,,
"CAN","Canada","T","Total","TOTAL","Total","2020","2020",38007166,,
"CAN","Canada","T","Total","TOTAL","Total","2021","2021",38226498,,
"CAN","Canada","T","Total","TOTAL","Total","2022","2022",38929902,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1960","1960",9659818,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1961","1961",9588016,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1962","1962",9621808,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1963","1963",9668741,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1964","1964",9730019,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1965","1965",9785102,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1966","1966",9826188,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1967","1967",9854241,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1968","1968",9877632,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1969","1969",9896695,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1970","1970",9805157,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1971","1971",9830602,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1972","1972",9868379,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1973","1973",9919519,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1974","1974",9994761,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1975","1975",10062366,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1976","1976",10128220,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1977","1977",10189312,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1978","1978",10245686,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1979","1979",10296489,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1980","1980",10326792,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1981","1981",10303208,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1982","1982",10314321,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1983","1983",10322823,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1984","1984",10330481,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1985","1985",10336742,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1986","1986",10340737,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1987","1987",10348834,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1988","1988",10356359,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1989","1989",10362257,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1990","1990",10362740,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1991","1991",10308682,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1992","1992",10317807,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1993","1993",10330607,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1994","1994",10336162,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1995","1995",10330759,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1996","1996",10315353,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1997","1997",10303642,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1998","1998",10294943,,
"CZE","Czech Republic","T","Total","TOTAL","Total","1999","1999",10282784,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2000","2000",10272503,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2001","2001",10224192,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2002","2002",10200774,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2003","2003",10201651,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2004","2004",10206923,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2005","2005",10234092,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2006","2006",10266646,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2007","2007",10322689,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2008","2008",10429692,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2009","2009",10491492,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2010","2010",10517247,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2011","2011",10496672,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2012","2012",10509286,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2013","2013",10510719,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2014","2014",10524783,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2015","2015",10542942,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2016","2016",10565284,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2017","2017",10589526,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2018","2018",10626430,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2019","2019",10669324,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2020","2020",10700155,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2021","2021",10500850,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2022","2022",10759525,,
"DNK","Denmark","T","Total","TOTAL","Total","1960","1960",4579603,,
"DNK","Denmark","T","Total","TOTAL","Total","1961","1961",4611690,,
"DNK","Denmark","T","Total","TOTAL","Total","1962","1962",4647733,,
"DNK","Denmark","T","Total","TOTAL","Total","1963","1963",4684481,,
"DNK","Denmark","T","Total","TOTAL","Total","1964","1964",4722074,,
"DNK","Denmark","T","Total","TOTAL","Total","1965","1965",4759011,,
"DNK","Denmark","T","Total","TOTAL","Total","1966","1966",4797381,,
"DNK","Denmark","T","Total","TOTAL","Total","1967","1967",4835358,,
"DNK","Denmark","T","Total","TOTAL","Total","1968","1968",4864879,,
"DNK","Denmark","T","Total","TOTAL","Total","1969","1969",4891860,,
"DNK","Denmark","T","Total","TOTAL","Total","1970","1970",4928748,,
"DNK","Denmark","T","Total","TOTAL","Total","1971","1971",4963126,,
"DNK","Denmark","T","Total","TOTAL","Total","1972","1972",4991596,,
"DNK","Denmark","T","Total","TOTAL","Total","1973","1973",5021862,,
"DNK","Denmark","T","Total","TOTAL","Total","1974","1974",5045298,,
"DNK","Denmark","T","Total","TOTAL","Total","1975","1975",5059862,,
"DNK","Denmark","T","Total","TOTAL","Total","1976","1976",5072597,,
"DNK","Denmark","T","Total","TOTAL","Total","1977","1977",5088420,,
"DNK","Denmark","T","Total","TOTAL","Total","1978","1978",5104248,,
"DNK","Denmark","T","Total","TOTAL","Total","1979","1979",5116802,,
"DNK","Denmark","T","Total","TOTAL","Total","1980","1980",5123027,,
"DNK","Denmark","T","Total","TOTAL","Total","1981","1981",5121572,,
"DNK","Denmark","T","Total","TOTAL","Total","1982","1982",5117810,,
"DNK","Denmark","T","Total","TOTAL","Total","1983","1983",5114297,,
"DNK","Denmark","T","Total","TOTAL","Total","1984","1984",5111619,,
"DNK","Denmark","T","Total","TOTAL","Total","1985","1985",5113691,,
"DNK","Denmark","T","Total","TOTAL","Total","1986","1986",5120534,,
"DNK","Denmark","T","Total","TOTAL","Total","1987","1987",5127024,,
"DNK","Denmark","T","Total","TOTAL","Total","1988","1988",5129517,,
"DNK","Denmark","T","Total","TOTAL","Total","1989","1989",5132594,,
"DNK","Denmark","T","Total","TOTAL","Total","1990","1990",5140939,,
"DNK","Denmark","T","Total","TOTAL","Total","1991","1991",5154298,,
"DNK","Denmark","T","Total","TOTAL","Total","1992","1992",5171370,,
"DNK","Denmark","T","Total","TOTAL","Total","1993","1993",5189377,,
"DNK","Denmark","T","Total","TOTAL","Total","1994","1994",5204994,,
"DNK","Denmark","T","Total","TOTAL","Total","1995","1995",5227861,,
"DNK","Denmark","T","Total","TOTAL","Total","1996","1996",5261503,,
"DNK","Denmark","T","Total","TOTAL","Total","1997","1997",5284220,,
"DNK","Denmark","T","Total","TOTAL","Total","1998","1998",5301304,,
"DNK","Denmark","T","Total","TOTAL","Total","1999","1999",5319111,,
"DNK","Denmark","T","Total","TOTAL","Total","2000","2000",5337344,,
"DNK","Denmark","T","Total","TOTAL","Total","2001","2001",5355082,,
"DNK","Denmark","T","Total","TOTAL","Total","2002","2002",5374255,,
"DNK","Denmark","T","Total","TOTAL","Total","2003","2003",5387174,,
"DNK","Denmark","T","Total","TOTAL","Total","2004","2004",5401177,,
"DNK","Denmark","T","Total","TOTAL","Total","2005","2005",5415978,,
"DNK","Denmark","T","Total","TOTAL","Total","2006","2006",5434567,,
"DNK","Denmark","T","Total","TOTAL","Total","2007","2007",5457415,,
"DNK","Denmark","T","Total","TOTAL","Total","2008","2008",5489022,,
"DNK","Denmark","T","Total","TOTAL","Total","2009","2009",5519441,,
"DNK","Denmark","T","Total","TOTAL","Total","2010","2010",5543819,,
"DNK","Denmark","T","Total","TOTAL","Total","2011","2011",5566856,,
"DNK","Denmark","T","Total","TOTAL","Total","2012","2012",5587085,,
"DNK","Denmark","T","Total","TOTAL","Total","2013","2013",5608784,,
"DNK","Denmark","T","Total","TOTAL","Total","2014","2014",5639719,,
"DNK","Denmark","T","Total","TOTAL","Total","2015","2015",5678348,,
"DNK","Denmark","T","Total","TOTAL","Total","2016","2016",5724456,,
"DNK","Denmark","T","Total","TOTAL","Total","2017","2017",5760694,,
"DNK","Denmark","T","Total","TOTAL","Total","2018","2018",5789957,,
"DNK","Denmark","T","Total","TOTAL","Total","2019","2019",5814461,,
"DNK","Denmark","T","Total","TOTAL","Total","2020","2020",5825337,,
"DNK","Denmark","T","Total","TOTAL","Total","2021","2021",5850189,,
"DNK","Denmark","T","Total","TOTAL","Total","2022","2022",5910577,,
"FIN","Finland","T","Total","TOTAL","Total","1960","1960",4429633,,
"FIN","Finland","T","Total","TOTAL","Total","1961","1961",4461007,,
"FIN","Finland","T","Total","TOTAL","Total","1962","1962",4491442,,
"FIN","Finland","T","Total","TOTAL","Total","1963","1963",4523307,,
"FIN","Finland","T","Total","TOTAL","Total","1964","1964",4548545,,
"FIN","Finland","T","Total","TOTAL","Total","1965","1965",4563732,,
"FIN","Finland","T","Total","TOTAL","Total","1966","1966",4580868,,
"FIN","Finland","T","Total","TOTAL","Total","1967","1967",4605743,,
"FIN","Finland","T","Total","TOTAL","Total","1968","1968",4626471,,
"FIN","Finland","T","Total","TOTAL","Total","1969","1969",4623785,,
